0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1.55941	-0.138498	1.5598	-0.138533	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339
1.69014	-0.097834	2.29525	-0.151564	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339
3.89266	-0.13499	2.10721	0.00759621	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
4.0474	-0.11953	2.41747	0.0243745	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323
6.85677	0.411725	3.18195	0.802694	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847
6.58892	0.393956	2.47112	0.629198	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847
9.07721	0.598035	2.4927	-0.0522301	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
9.03387	0.598149	2.50379	-0.0581504	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526
11.5745	1.65401	2.60036	1.73934	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
11.47	1.63506	2.32027	1.64649	11.4447	1.42958	11.3468	1.427	2.49328	0.600781
13.5963	2.32341	1.88784	0.0762775	13.5921	2.31191	13.827	2.07905	2.5429	0.724947
13.7127	2.3393	2.43001	0.169426	13.6572	1.99915	13.827	2.07905	2.5429	0.724947
16.6366	2.89793	3.41816	0.830408	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
16.3886	2.85383	2.72497	0.700053	16.282	2.84648	16.3554	2.85243	2.58284	0.844365
19.0122	3.70389	2.53576	0.937767	19.0106	3.70555	18.923	3.74161	2.61382	0.95648
19.1059	3.72087	2.47196	0.887107	19.363	3.87122	18.923	3.74161	2.61382	0.95648
21.3353	4.73087	2.0069	1.07094	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891
21.5275	4.77463	2.53688	1.21524	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891
24.079	5.57459	2.53387	0.538865	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953
24.3365	5.63462	3.0197	0.650919	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953
26.6171	6.95404	1.63225	1.68476	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647
26.7492	6.99506	2.36267	1.99876	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647
29.5797	8.09794	3.19199	0.572265	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822
29.521	8.08239	2.99931	0.518716	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822
31.9495	9.86585	2.00438	2.53975	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358
31.8885	9.84967	2.04554	2.60627	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358
34.6072	10.7187	3.17033	-0.18672	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617
34.7703	10.7718	3.25992	-0.135181	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617
37.1529	12.0724	1.70281	2.13911	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209
37.3981	12.1543	2.34471	2.37676	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209
40.3206	13.4784	3.34966	0.70162	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459
